job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_raw,salary_min_lpa,salary_max_lpa,salary_disclosed,skills_required,skills_count,job_description,posted_date_raw,work_mode,company_size_bucket,job_url,data_source,scraped_at,salary_tier,experience_tier,is_senior,primary_city,skill_domain,salary_midpoint_lpa,days_since_posted,is_fresher_friendly,salary_negotiable
11,Sr Data Scientist - Advanced Machine Learning,Target,4.0,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0,Not Disclosed,0.0,0.0,False,"Supply chain, Computer science, Business process, Data analysis, Machine learning, Network security, Data structures, Troubleshooting",8,"Overview about TII: At Target, we have a timeless purpose and a proven strategy....",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-sr-data-scientist-advanced-machine-learning-target-corporation-india-pvt-ltd-bengaluru-4-to-9-years-100226503258,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
12,Data Scientist - Service Parts Supply Chain,Philips,3.8,Bengaluru,Bangalore,Data Scientist,10-15 Yrs,0.0,0.0,Not Disclosed,0.0,0.0,False,"Supply chain, Supply chain management, ERP, Performance management, Project management, Process improvement, Business analytics, Healthcare",8,Logistics operations . Materials management . Demand forecasting . Education Experience...,3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-service-parts-supply-chain-philips-india-limited-bengaluru-10-to-15-years-020426508504,naukri.com,2025-06-10,Undisclosed,Fresher,False,Bangalore,Business Intelligence,0.0,21.0,True,False
13,Data Scientist Cyber Threat Intelligence,A.P. Moller Maersk,3.9,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,"Automation, Relationship building, Data quality, Continuous improvement, Security operations, Forecasting, Operations, Auditing",8,"Bachelor s degree in computer science, Engineering, Mathematics, Statistics, Data Scien...",3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-cyber-threat-intelligence-maersk-global-service-centres-india-pvt-ltd-bengaluru-5-to-10-years-240226503494,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,Data Science,0.0,21.0,False,False
14,Data Scientist,EXL,3.6,"Hybrid - Gurugram, Bengaluru",Bangalore,Data Scientist,5-8 Yrs,5.0,8.0,Not Disclosed,0.0,0.0,False,"Generative Ai, Artificial Intelligence, Python, SQL, Data Science, Data, Intelligence, Science",8,Role & responsibilities We are seeking a highly skilled and experienced Data Scientist...,6 days ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-exl-gurugram-bengaluru-5-to-8-years-031125016780,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Gurgaon,AI/ML/DL,0.0,6.0,False,False
15,Data Scientist,Maruti Suzuki,4.1,Bengaluru,Bangalore,Data Scientist,4-7 Yrs,4.0,7.0,Not Disclosed,0.0,0.0,False,"Cloud computing, Data analysis, Machine learning, Data processing, Telematics, Engineering Design, data visualization, Automotive",8,Essential : BE / BTech/ M Tech / MSc in any stream . Databricks Platform: Experience wi...,3+ weeks ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-maruti-suzuki-india-limited-bengaluru-4-to-7-years-211125502671,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
16,"Staff Data Scientist, Ads Insights and Measurement",Google,4.4,Bengaluru,Bangalore,Data Scientist,8-13 Yrs,8.0,13.0,Not Disclosed,0.0,0.0,False,"Data analysis, Bidding, Coding, Analytical, Data structures, MATLAB, Analytics, Brand building",8,"Masters degree in Statistics or Economics, a related field, or equivalent practical exp...",3+ weeks ago,On-site,Large (1000+),https://www.naukri.com/job-listings-staff-data-scientist-ads-insights-and-measurement-google-india-private-limited-bengaluru-8-to-13-years-090725503487,naukri.com,2025-06-10,Undisclosed,Senior (6-8 Yrs),False,Bangalore,Business Intelligence,0.0,21.0,False,False
17,AI / ML Data Scientist I,Nielsen Sports,3.8,Bengaluru,Bangalore,Data Scientist,0-3 Yrs,0.0,3.0,Not Disclosed,0.0,0.0,False,"Cloud computing, Operations research, Automation, Primary research, data science, Machine learning, JIRA, Statistics",8,Document new methodologies and code.Qualifications . 0-3 years work experience . Profic...,6 days ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-ai-ml-data-scientist-i-nielsen-sports-bengaluru-0-to-3-years-030626504161,naukri.com,2025-06-10,Undisclosed,Fresher,False,Bangalore,AI/ML/DL,0.0,6.0,True,False
18,Data Scientist,Genpact,3.6,"Hybrid - Hyderabad, Gurugram, Bengaluru",Bangalore,Data Scientist,8-12 Yrs,8.0,12.0,15-25 Lacs PA,15.0,25.0,True,"Generative Ai, Machine Learning, Python, Data Science, Natural Language Processing, Languages, Processing, Process",8,Prior experience in building or fine-tuning LLM applicationsPreferred Qualifications/ S...,1 day ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-data-scientist-genpact-hyderabad-gurugram-bengaluru-8-to-12-years-090626026692,naukri.com,2025-06-10,Senior (10-20 LPA),Senior (6-8 Yrs),False,Hyderabad,AI/ML/DL,20.0,1.0,False,False
19,Marketing Data Scientist/Engineer,Wipro,3.6,"Hybrid - Noida, Kolkata, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,"Insight Generation, Statistical Modeling, Python, Marketing Database, Customer Analytics, R Program, SQL, Modeling",8,Statistical Modeling Proficient in Bayesian MMM and econometric methods addresses lag e...,4 days ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-marketing-data-scientist-engineer-wipro-noida-kolkata-bengaluru-5-to-10-years-050626025990,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Noida,Business Intelligence,0.0,4.0,False,False
20,Data Scientist-Artificial Intelligence,IBM,3.9,Bangalore Rural,Bangalore,Data Scientist,7-9 Yrs,7.0,9.0,Not Disclosed,0.0,0.0,False,"kubernetes, scikit-learn, foundation, artificial intelligence, jquery, sql, react.js, tensorflow",8,Your primary responsibilities will include: Design AI Solutions: Architect and deliver ...,1 day ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-bangalore-rural-7-to-9-years-090626023322,naukri.com,2025-06-10,Undisclosed,Senior (6-8 Yrs),False,Bangalore,AI/ML/DL,0.0,1.0,False,False
21,Data Scientist,Alstom,3.7,Bengaluru,Bangalore,Data Scientist,7-12 Yrs,7.0,12.0,Not Disclosed,0.0,0.0,False,"data scientist, python, neural networks, ai, numpy, machine learning, artificial intelligence, sql",8,"Instead, weve listed some that we think will help you succeed and grow in this role: . ...",1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-alstom-transport-india-ltd-bengaluru-7-to-12-years-080626934044,naukri.com,2025-06-10,Undisclosed,Senior (6-8 Yrs),False,Bangalore,AI/ML/DL,0.0,1.0,False,False
22,Data Scientist - Gen AI,Fractal Analytics,4.0,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0,Not Disclosed,0.0,0.0,False,"GIT, GCP, Analytical, Software development life cycle, Workflow, Application development, Natural language processing, Open source",8,Cloud certification is preferred. . Primary Skills: . Natural Language Processing (NLP...,Just now,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-gen-ai-fractal-analytics-ltd-bengaluru-3-to-5-years-100626500245,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,0.0,False,False
23,Data Scientist - Predictive Intelligence (Sensor Fusion & Time Series),Pump Academy,4.1,Bengaluru(Old Airport Road),Bangalore,Data Scientist,8-12 Yrs,8.0,12.0,Not Disclosed,0.0,0.0,False,"Agentic Ai, Generative Ai, Time Series, Deep Learning, Signal Processing, Data Engineering, ML Frameworks, IIoT Analytics",8,"We seek exceptional professionals with strong mathematical foundations, robust engineer...",1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-predictive-intelligence-sensor-fusion-time-series-pump-academy-bengaluru-8-to-12-years-090626023287,naukri.com,2025-06-10,Undisclosed,Senior (6-8 Yrs),False,Bangalore,AI/ML/DL,0.0,1.0,False,False
24,Data Scientist,Ecolab Global Services,3.4,Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0,Not Disclosed,0.0,0.0,False,"data scientist, bs, project management, data science, mathematics, research, statistics, Project",8,"Contributes to the exploration, refinement and deployment of data science solutions. . ...",1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-ecolab-global-services-private-limited-bengaluru-3-to-5-years-080626934255,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,Data Science,0.0,1.0,False,False
25,Data Scientist,Leading IT Service and Consulting Organization,3.6,"Hybrid - Gurugram, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,"Artificial Intelligence, Natural Language Processing, Machine Learning, Deep Learning, Python, Tensorflow, Pytorch, GCP",8,Educational Qualification : 15 years full time educationCould also include but not limi...,2 days ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-data-scientist-anlage-infotech-gurugram-bengaluru-5-to-10-years-080626001700,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Gurgaon,AI/ML/DL,0.0,2.0,False,False
26,Data Scientist I,Sparta Systems,4.1,Bengaluru,Bangalore,Data Scientist,0-5 Yrs,0.0,5.0,Not Disclosed,0.0,0.0,False,"Computer science, Data analysis, Statistical modeling, data science, Analytical, Machine learning, Programming, Mathematics",8,"Bachelor s degree or Advanced degree in Computer Science, Statistics, Mathematics, or r...",5 days ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-i-spartasystems-bengaluru-0-to-5-years-040626501401,naukri.com,2025-06-10,Undisclosed,Fresher,False,Bangalore,AI/ML/DL,0.0,5.0,True,False
27,Hiring For data Scientist,Tech Mahindra,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,20-27.5 Lacs PA,20.0,27.5,True,"Data Science, Artificial Intelligence, Natural Language Processing, Computer Vision, Machine Learning, Deep Learning, Python, Languages",8,Knowledge of Model Quantization and Pruning . Past experience playing a Data Scientist ...,1 day ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-hiring-for-data-scientist-glauben-technologies-hyderabad-pune-bengaluru-5-to-10-years-080626009474,naukri.com,2025-06-10,Leadership (20+ LPA),Mid (3-5 Yrs),False,Hyderabad,AI/ML/DL,23.75,1.0,False,False
28,Data Scientist-Artificial Intelligence,IBM,3.9,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0,Not Disclosed,0.0,0.0,False,"data scientist, python, ai solutions, ai frameworks, ai, cloud platforms, machine learning, artificial intelligence",8,"As an Associate Data Scientist at IBM, you will work to solve business problems using ...",6 days ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-artificial-intelligence-ibm-india-pvt-limited-bengaluru-3-to-7-years-030626928132,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,0.0,6.0,False,False
29,Data Scientist,Hackajob,3.6,"Hybrid - Pune, Bengaluru",Bangalore,Data Scientist,2-7 Yrs,2.0,7.0,17-22.5 Lacs PA,17.0,22.5,True,"Geospatial Data, Time Series, Statistical Modeling, Python, Machine Learning, Statistics, Time, Data",8,"Job SummaryWe are seeking a Data Scientist with strong expertise in Python, Statistical...",1 day ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-hackajob-pune-bengaluru-2-to-7-years-080626013651,naukri.com,2025-06-10,Senior (10-20 LPA),Junior (0-2 Yrs),False,Pune,AI/ML/DL,19.75,1.0,False,False
30,Data Scientist,Ltimindtree,3.6,Hybrid - Bengaluru,Bangalore,Data Scientist,6-11 Yrs,6.0,11.0,16-31 Lacs PA,16.0,31.0,True,"Agentic Ai, MS Copilot, Generative Ai, Machine Learning, Python, Artificial Intelligence, copilot studios, Power Platform",8,"Preferred Experience. MS Copilot, power platform and copilot studio. 5- 12 yrsExposure ...",1 day ago,Hybrid,Large (1000+),https://www.naukri.com/job-listings-data-scientist-ltimindtree-bengaluru-6-to-11-years-090626033639,naukri.com,2025-06-10,Senior (10-20 LPA),Senior (6-8 Yrs),False,Bangalore,AI/ML/DL,23.5,1.0,False,False
31,Data Scientist,VOLKSWAGEN GROUP DIGITAL SOLUTIONS PRIVATE LIMITED,3.9,"Pune, Gurugram, Bengaluru",Bangalore,Data Scientist,3-6 Yrs,3.0,6.0,Not Disclosed,0.0,0.0,False,"Data Scientist, Ml Engineer, Azure, Ai, Rest Api, Devops, Vector Search, Design",8,Required Skills: AI / ML experience Azure OpenAI expertise Experience with conversation...,5 days ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-volkswagen-group-technology-solutions-india-private-limited-pune-gurugram-bengaluru-3-to-6-years-040626927643,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Pune,AI/ML/DL,0.0,5.0,False,False
32,Data Scientist,Comviva Technology,2.8,Hybrid - Bengaluru,Bangalore,Data Scientist,3-5 Yrs,3.0,5.0,Not Disclosed,0.0,0.0,False,"Agentic Ai, MLops, AI/ML, RAG, Python, Ml, Artificial Intelligence, Aiml",8,A drive to learn and master new technologies and techniquesBachelors or master s in com...,1 day ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-comviva-technology-bengaluru-3-to-5-years-080626026027,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,Data Science,0.0,1.0,False,False
33,Data Scientist GenAI / Machine Learning,Insight Global Technologies,3.5,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,13-23 Lacs PA,13.0,23.0,True,"Data Scientist, Artificial Intelligence, Machine Learning, Python, Tensorflow, Intelligence, Machine, Data",8,Proven experience delivering end-to-end ML solutions (POC production deployment) Bachel...,1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-genai-machine-learning-insight-global-technologies-bengaluru-5-to-10-years-080626034918,naukri.com,2025-06-10,Senior (10-20 LPA),Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,18.0,1.0,False,False
34,Data Scientist - Gen AI,Fractal Analytics,4.0,"Noida, Mumbai, Hyderabad, Pune, Chennai, Gurugram, Bengaluru",Bangalore,Data Scientist,3-5 Yrs,3.0,5.0,Not Disclosed,0.0,0.0,False,"GIT, GCP, Analytical, Software development life cycle, Workflow, Application development, Natural language processing, Open source",8,Cloud certification is preferred. . Primary Skills: . Natural Language Processing (NLP...,1 day ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-gen-ai-fractal-analytics-ltd-noida-mumbai-hyderabad-pune-chennai-gurugram-bengaluru-3-to-5-years-080626500797,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Noida,AI/ML/DL,0.0,1.0,False,False
35,Data Scientist,KPI Partners,3.6,"Hybrid - Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,6-10 Yrs,6.0,10.0,25-40 Lacs PA,25.0,40.0,True,"Aws Sagemaker, Demand Forecasting, AWS, Python, sql, Forecasting, Data",7,"Hands-on production experience with AWS SageMaker (model training, hyperparameter tunin...",1 day ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-kpi-partners-hyderabad-pune-bengaluru-6-to-10-years-090626019188,naukri.com,2025-06-10,Leadership (20+ LPA),Senior (6-8 Yrs),False,Hyderabad,Cloud & DevOps,32.5,1.0,False,False
36,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,3.8,Bengaluru,Bangalore,Data Scientist,2-9 Yrs,2.0,9.0,Not Disclosed,0.0,0.0,False,"Data analysis, data science, Analytical, Management consulting, Data quality, Forecasting, Operations, Analytics",8,"Job Title: Data Scientist Time Series, Statistical Modelling Azure Data Bricks Jo...",4 days ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-time-series-statistical-modelling-azure-data-bricks-capco-technologies-pvt-ltd-bengaluru-2-to-9-years-050626502793,naukri.com,2025-06-10,Undisclosed,Junior (0-2 Yrs),False,Bangalore,Business Intelligence,0.0,4.0,False,False
37,Gen AI Data Scientist,Tata Consultancy Services,3.3,"Pune, Chennai, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,Not Disclosed,0.0,0.0,False,"Data Engineering, llm, Retrieval Augmented Generation, Python, Data, Gen, Artificial Intelligence, Generation",8,Essential skills/knowledge/experience:Role- Data Scientist ( 5 to 10 Yrs )Hands-on expe...,2 days ago,On-site,Large (1000+),https://www.naukri.com/job-listings-gen-ai-data-scientist-tata-consultancy-services-pune-chennai-bengaluru-5-to-10-years-070626005008,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Pune,AI/ML/DL,0.0,2.0,False,False
38,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,3.8,"Hyderabad, Pune, Chennai, Gurugram, Bengaluru",Bangalore,Data Scientist,2-9 Yrs,2.0,9.0,Not Disclosed,0.0,0.0,False,"Data analysis, data science, Analytical, Management consulting, Data quality, Forecasting, Operations, Analytics",8,"Job Title: Data Scientist Time Series, Statistical Modelling Azure Data Bricks Jo...",4 days ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-time-series-statistical-modelling-azure-data-bricks-capco-technologies-pvt-ltd-hyderabad-pune-chennai-gurugram-bengaluru-2-to-9-years-050626501600,naukri.com,2025-06-10,Undisclosed,Junior (0-2 Yrs),False,Hyderabad,Business Intelligence,0.0,4.0,False,False
39,Data Scientist,Aon,3.8,Bengaluru,Bangalore,Data Scientist,5-9 Yrs,5.0,9.0,Not Disclosed,0.0,0.0,False,"Translation, data science, Scalability, Agile, Actuarial, Business partnering, Risk analysis, Corporate strategy",8,SKILLS / COMPETENCIES REQUIRED : . Experience in AI ToolsExperience with PySpark and us...,4 days ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-aon-bengaluru-5-to-9-years-050626502720,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Bangalore,Data Engineering,0.0,4.0,False,False
40,Data Scientist,Voya India,3.6,Bengaluru,Bangalore,Data Scientist,3-6 Yrs,3.0,6.0,10-23 Lacs PA,10.0,23.0,True,"Predictive Modeling, Machine Learning, Python, SQL, Natural Language Processing, Modeling, Languages, Predictive",8,o Selecting and applying data science / machine learning / artificial intelligence algo...,1 day ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-voya-india-bengaluru-3-to-6-years-090626014824,naukri.com,2025-06-10,Senior (10-20 LPA),Mid (3-5 Yrs),False,Bangalore,AI/ML/DL,16.5,1.0,False,False
41,AI Data Engineer/Scientist,Wipro,3.6,Remote,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0,Not Disclosed,0.0,0.0,False,"Natural Language Processing, Aiml, Python, Process, Languages, Processing, Data, Artificial Intelligence",8,"This is Freelance work for a Niche Client, so those who are interested to work as a fre...",5 days ago,Remote,Large (1000+),https://www.naukri.com/job-listings-ai-data-engineer-scientist-wipro-bengaluru-4-to-8-years-040626022459,naukri.com,2025-06-10,Undisclosed,Mid (3-5 Yrs),False,Remote,Data Engineering,0.0,5.0,False,False
42,Walkin Drive | Bangalore | June 13 | Data Scientist,Tata Consultancy Services,3.3,Bengaluru,Bangalore,Data Scientist,13 Jun,13.0,8.0,Not Disclosed,0.0,0.0,False,"Generative Ai, Data Scientist, Aiml, Python, Drives, Data, Artificial Intelligence",7,"Experience - 4 to 15 years . Advanced degree in mathematics, statistics, computer scien...",13 Jun,On-site,Large (1000+),https://www.naukri.com/job-listings-walkin-drive-bangalore-june-13-data-scientist-tata-consultancy-services-bengaluru-4-to-9-years-040626025289,naukri.com,2025-06-10,Undisclosed,Lead/Architect (9+ Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
43,Data Scientist,Tata Consultancy Services,3.3,"Hyderabad, Pune, Bengaluru",Bangalore,Data Scientist,6-10 Yrs,6.0,10.0,Not Disclosed,0.0,0.0,False,"Machine Learning, Python, SQL, Natural Language Processing, Hadoop, Data, Processing, Languages",8,Programming experience in Python & SQL preferably developed in a commercial setting of ...,5 days ago,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-hyderabad-pune-bengaluru-6-to-10-years-040626017185,naukri.com,2025-06-10,Undisclosed,Senior (6-8 Yrs),False,Hyderabad,AI/ML/DL,0.0,5.0,False,False
44,Data Scientist / AI/ML Engineer,Black and white Business Solution,3.6,"Hybrid - Hyderabad, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,20-35 Lacs PA,20.0,35.0,True,"Artificial Intelligence, LangChain, RAG, LLM, Python, Generative Ai, Aiml, Data",8,About ClientHiring for One of the Most Prestigious Multinational Corporations! Job De...,4 days ago,Hybrid,Small/Startup (<100),https://www.naukri.com/job-listings-data-scientist-ai-ml-engineer-black-and-white-business-solutions-hyderabad-bengaluru-5-to-10-years-050626009061,naukri.com,2025-06-10,Leadership (20+ LPA),Mid (3-5 Yrs),False,Hyderabad,AI/ML/DL,27.5,4.0,False,False
45,Staff Data Scientist | (AI ML |Graph Neural Networks and NLP),Neuron7,2.4,Bengaluru,Bangalore,Data Scientist,10-15 Yrs,0.0,0.0,Not Disclosed,0.0,0.0,False,"Backend, Artificial Intelligence, Machine learning, Data processing, Silicon, Analytics, Monitoring, SQL",8,"Experience with Transformer-based models (e.g., BERT, GPT). . Strong experience with on...",5 days ago,On-site,Small/Startup (<100),https://www.naukri.com/job-listings-staff-data-scientist-ai-ml-graph-neural-networks-and-nlp-neuron7-ai-bengaluru-10-to-15-years-040626502932,naukri.com,2025-06-10,Undisclosed,Fresher,False,Bangalore,AI/ML/DL,0.0,5.0,True,False
46,Walk-in || Data Scientist,Tata Consultancy Services,3.3,Bengaluru,Bangalore,Data Scientist,13 Jun,13.0,8.0,Not Disclosed,0.0,0.0,False,"Natural Language Processing, Python, Tensorflow, Cloud, Numpy, Data, Processing, Languages",8,Preferred candidate profile . Experience: 6-12 years,13 Jun,On-site,Large (1000+),https://www.naukri.com/job-listings-data-scientist-tata-consultancy-services-bengaluru-6-to-11-years-040626015793,naukri.com,2025-06-10,Undisclosed,Lead/Architect (9+ Yrs),False,Bangalore,AI/ML/DL,0.0,21.0,False,False
